12/16/2006,4.216,0.418,234.84,18.4,0,1,17,52.26667,SEMS10000X
12/16/2006,5.36,0.436,233.63,23,0,1,16,72.333336,SEMS10000X
12/16/2006,5.374,0.498,233.29,23,0,2,17,70.566666,SEMS10000X
12/16/2006,5.388,0.502,233.74,23,0,1,17,71.8,SEMS10000X
12/16/2006,3.666,0.528,235.68,15.8,0,1,17,43.1,SEMS10000X
12/16/2006,3.52,0.522,235.02,15,0,2,17,39.666668,SEMS10000X
12/16/2006,3.702,0.52,235.09,15.8,0,1,17,43.7,SEMS10000X
12/16/2006,3.7,0.52,235.22,15.8,0,1,17,43.666668,SEMS10000X
12/16/2006,3.668,0.51,233.99,15.8,0,1,17,43.133335,SEMS10000X
12/16/2006,3.662,0.51,233.86,15.8,0,2,16,43.033333,SEMS10000X
12/16/2006,4.448,0.498,232.86,19.6,0,1,17,56.13333,SEMS10000X
12/16/2006,5.412,0.47,232.78,23.2,0,1,17,72.2,SEMS10000X
12/16/2006,5.224,0.478,232.99,22.4,0,1,16,70.066666,SEMS10000X
12/16/2006,5.268,0.398,232.91,22.6,0,2,17,68.8,SEMS10000X
12/16/2006,4.054,0.422,235.24,17.6,0,1,17,49.566666,SEMS10000X
12/16/2006,3.384,0.282,237.14,14.2,0,0,17,39.4,SEMS10000X
12/16/2006,3.27,0.152,236.73,13.8,0,0,17,37.5,SEMS10000X
12/16/2006,3.43,0.156,237.06,14.4,0,0,17,40.166668,SEMS10000X
12/16/2006,3.266,0,237.13,13.8,0,0,18,36.433334,SEMS10000X
12/16/2006,3.728,0,235.84,16.4,0,0,17,45.133335,SEMS10000X
12/16/2006,5.894,0,232.69,25.4,0,0,16,82.23333,SEMS10000X
12/16/2006,7.706,0,230.98,33.2,0,0,17,111.433334,SEMS10000X
12/16/2006,7.026,0,232.21,30.6,0,0,16,101.1,SEMS10000X
12/16/2006,5.174,0,234.19,22,0,0,17,69.23333,SEMS10000X
12/16/2006,4.474,0,234.96,19.4,0,0,17,57.566666,SEMS10000X
12/16/2006,3.248,0,236.66,13.6,0,0,17,37.133335,SEMS10000X
12/16/2006,3.236,0,235.84,13.6,0,0,17,36.933334,SEMS10000X
12/16/2006,3.228,0,235.6,13.6,0,0,17,36.8,SEMS10000X
12/16/2006,3.258,0,235.49,13.8,0,0,17,37.3,SEMS10000X
12/16/2006,3.178,0,235.28,13.4,0,0,17,35.966667,SEMS10000X
12/16/2006,2.72,0,235.06,11.6,0,0,17,28.333332,SEMS10000X
12/16/2006,3.758,0.076,234.17,16.4,0,0,17,45.633335,SEMS10000X
12/16/2006,4.342,0.09,233.77,18.4,0,0,16,56.36667,SEMS10000X
12/16/2006,4.512,0,233.62,19.2,0,0,17,58.199997,SEMS10000X
12/16/2006,4.058,0.2,234.68,17.6,0,0,17,50.63333,SEMS10000X
12/16/2006,2.472,0.058,236.94,10.4,0,0,17,24.2,SEMS10000X
12/16/2006,2.79,0.18,237.52,11.8,0,0,18,28.5,SEMS10000X
